Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
9-Sep-24,24823.4,24957.5,24753.15,24936.4,254367252,25180.28
10-Sep-24,24999.4,25130.5,24896.8,25041.1,251274802,27846.31
11-Sep-24,25034,25113.7,24885.15,24918.45,279229206,29395.73
12-Sep-24,25059.65,25433.35,24941.45,25388.9,380069653,41747.91
13-Sep-24,25430.45,25430.5,25292.45,25356.5,250781898,25530.69
16-Sep-24,25406.65,25445.7,25336.2,25383.75,168694880,18705.01
17-Sep-24,25416.9,25441.65,25352.25,25418.55,215956868,25280.83
18-Sep-24,25402.4,25482.2,25285.55,25377.55,215727159,28832
19-Sep-24,25487.05,25611.95,25376.05,25415.8,314461263,34389.27
20-Sep-24,25525.95,25849.25,25426.6,25790.95,533067422,68915.27
23-Sep-24,25872.55,25956,25847.35,25939.05,209187756,24825.74
24-Sep-24,25921.45,26011.55,25886.85,25940.4,384115033,35573.63
25-Sep-24,25899.45,26032.8,25871.35,26004.15,278540972,27868.08
26-Sep-24,26005.4,26250.9,25998.4,26216.05,370895477,40838.36
27-Sep-24,26248.25,26277.35,26151.4,26178.95,490332370,55420.63
30-Sep-24,26061.3,26134.7,25794.1,25810.85,375370974,36028.06
1-Oct-24,25788.45,25907.6,25739.2,25796.9,247423786,27473.29
3-Oct-24,25452.85,25639.45,25230.3,25250.1,423395030,45689.5
4-Oct-24,25181.9,25485.05,24966.8,25014.6,374914801,42719.71
7-Oct-24,25084.1,25143,24694.35,24795.75,374345795,40550.24
8-Oct-24,24832.2,25044,24756.8,25013.15,333220055,33493.36
9-Oct-24,25065.8,25234.05,24947.7,24981.95,290562844,30877.63
10-Oct-24,25067.05,25134.05,24979.4,24998.45,261364749,28046.45
11-Oct-24,24985.3,25028.65,24920.05,24964.25,210462717,21734.97
14-Oct-24,25023.45,25159.75,25017.5,25127.95,206423311,21270.9
15-Oct-24,25186.3,25212.05,25008.15,25057.35,257228772,29113.88
16-Oct-24,25008.55,25093.4,24908.45,24971.3,226774456,24115.83
17-Oct-24,25027.4,25029.5,24728.9,24749.85,252755662,32606.34
18-Oct-24,24664.95,24886.2,24567.65,24854.05,290855392,31772.76
21-Oct-24,24956.15,24978.3,24679.6,24781.1,241978957,32207.22
22-Oct-24,24798.65,24882,24445.8,24472.1,279484697,32801.59
23-Oct-24,24378.15,24604.25,24378.1,24435.5,284556771,31928.1
24-Oct-24,24412.7,24480.65,24341.2,24399.4,216686434,27817.66
25-Oct-24,24418.05,24440.25,24073.9,24180.8,372642214,37068.91
28-Oct-24,24251.1,24492.6,24134.9,24339.15,278562235,28136.06
29-Oct-24,24328.85,24484.5,24140.85,24466.85,332044690,35579.48
30-Oct-24,24371.45,24498.2,24307.3,24340.85,285196335,31068.7
31-Oct-24,24349.85,24372.45,24172.6,24205.35,287007588,33403.89
1-Nov-24,24302.75,24368.25,24280.2,24304.35,38811387,3348.45
4-Nov-24,24315.75,24316.75,23816.15,23995.35,285531635,31561.52
5-Nov-24,23916.5,24229.05,23842.75,24213.3,289511197,30074.77
6-Nov-24,24308.75,24537.6,24204.05,24484.05,351082031,34108.84
7-Nov-24,24489.6,24503.35,24179.05,24199.35,322185588,30971.89
8-Nov-24,24207.7,24276.15,24066.65,24148.2,298725122,27670.3
11-Nov-24,24087.25,24336.8,24004.6,24141.3,273370562,26600.28
12-Nov-24,24225.8,24242,23839.15,23883.45,255825829,26852.73
13-Nov-24,23822.45,23873.6,23509.6,23559.05,304569316,27765.81
14-Nov-24,23542.15,23675.9,23484.15,23532.7,257708474,24814.37
18-Nov-24,23605.3,23606.8,23350.4,23453.8,263311912,25257.33
19-Nov-24,23529.55,23780.65,23464.8,23518.5,297477279,30486.78
21-Nov-24,23488.45,23507.3,23263.15,23349.9,420332354,40900.89
22-Nov-24,23411.8,23956.1,23359,23907.25,367562789,39257.52
25-Nov-24,24253.55,24351.55,24135.45,24221.9,687172787,85975.81
26-Nov-24,24343.3,24343.3,24125.4,24194.5,230691771,24140.67
27-Nov-24,24204.8,24354.55,24145.65,24274.9,295011445,31149.09
28-Nov-24,24274.15,24345.75,23873.35,23914.15,366745300,41198.27
29-Nov-24,23927.15,24188.45,23927.15,24131.1,282104071,30509.98
2-Dec-24,24140.85,24301.7,24008.65,24276.05,220384187,23162.75
3-Dec-24,24367.5,24481.35,24280,24457.15,339470947,34228.3
4-Dec-24,24488.75,24573.2,24366.3,24467.45,348003156,34639.78
5-Dec-24,24539.15,24857.75,24295.55,24708.4,361469920,40471.33
6-Dec-24,24729.45,24751.05,24620.5,24677.8,226731303,23904.13
9-Dec-24,24633.9,24705,24580.05,24619,248139308,25099.79
10-Dec-24,24652.65,24677.8,24510.65,24610.05,261048951,26093.38
11-Dec-24,24620.5,24691.75,24583.85,24641.8,187252712,21592.23
12-Dec-24,24604.45,24675.25,24527.95,24548.7,266051129,28235.17
13-Dec-24,24498.35,24792.3,24180.8,24768.3,310080852,30429.73
16-Dec-24,24753.4,24781.25,24601.75,24668.25,187551629,18608.23
17-Dec-24,24584.8,24624.1,24303.45,24336,264881033,26765.16
18-Dec-24,24297.95,24394.45,24149.85,24198.85,235346534,23315.92
19-Dec-24,23877.15,24004.9,23870.3,23951.7,271128027,27815.23
20-Dec-24,23960.7,24065.8,23537.35,23587.5,442714411,47084.68
23-Dec-24,23738.2,23869.55,23647.2,23753.45,189758237,18243.28
24-Dec-24,23769.1,23867.65,23685.15,23727.65,177664746,16010.71
26-Dec-24,23775.8,23854.5,23653.6,23750.2,177681783,16695.1
27-Dec-24,23801.4,23938.85,23800.6,23813.4,176821521,17164.99
30-Dec-24,23796.9,23915.35,23599.3,23644.9,364929453,33823.95
31-Dec-24,23560.6,23689.85,23460.45,23644.8,193627727,18646.79
1-Jan-25,23637.65,23822.8,23562.8,23742.9,154921938,14266.26
2-Jan-25,23783,24226.7,23751.55,24188.65,283200811,32237.25
3-Jan-25,24196.4,24196.45,23976,24004.75,312279515,29411.99
6-Jan-25,24045.8,24089.95,23551.9,23616.05,278061806,25853.64
7-Jan-25,23679.9,23795.2,23637.8,23707.9,262337253,22485.65
8-Jan-25,23746.65,23751.85,23496.15,23688.95,266375381,24718.54
9-Jan-25,23674.75,23689.5,23503.05,23526.5,269239831,26793.85
10-Jan-25,23551.9,23596.6,23344.35,23431.5,261022434,25017.6
13-Jan-25,23195.4,23340.95,23047.25,23085.95,316481107,26890.37
14-Jan-25,23165.9,23264.95,23134.15,23176.05,311235510,31174.05
15-Jan-25,23250.45,23293.65,23146.45,23213.2,228039156,21587.78
16-Jan-25,23377.25,23391.65,23272.05,23311.8,299416081,29784.82
17-Jan-25,23277.1,23292.1,23100.35,23203.2,272945267,27040.78
20-Jan-25,23290.4,23391.1,23170.65,23344.75,301455455,27333.97
21-Jan-25,23421.65,23426.3,22976.85,23024.65,312871897,30106.72
22-Jan-25,23099.15,23169.55,22981.3,23155.35,275951918,25462.05
23-Jan-25,23128.3,23270.8,23090.65,23205.35,275558357,27723.78
24-Jan-25,23183.9,23347.3,23050,23092.2,264336332,24412.46
27-Jan-25,22940.15,23007.45,22786.9,22829.15,257372790,24202.41
28-Jan-25,22960.45,23137.95,22857.65,22957.25,361868609,33221.8
29-Jan-25,23026.75,23183.35,22976.5,23163.1,251208119,22307.38
